Une Souris Verte,Je l'attrape ...,par la queue,MEMOIRE,par la main,par la queue,par les cheveux
Une Souris Verte,Je la montre à ...,ces messieurs,ORTHOGRAPHE,ces messieurs,ses messieurs,c'est messieurs
Une Souris Verte,Une souris verte qui ... dans l'herbe,courait,CONJUGAISON,couré,couraient,courait
Au Clair de la Lune,Prêtes-moi ...,ta plume,MEMOIRE,ton sylo,ta machine à écrire,ta plume
Au Clair de la Lune,Je n'... plus de feu,ai,CONJUGAISON,est,ai,et
Au Clair de la Lune,Pour l'... de Dieu,amour,ORTHOGRAPHE,amour,amoure,ammour
Promenons-nous dans les bois,Pendant que le loup ...,n'y est pas,MEMOIRE,y est,n'est pas,n'y est pas
Promenons-nous dans les bois,Pendant que le loup ...,n'y est pas,CONJUGAISON,n'y et pas,n'y est pas,n'y ai pas
Promenons-nous dans les bois,Si le loup y ...,était,ORTHOGRAPHE,était,éttai,aitait
À la claire fontaine,J'ai trouvé l'eau si ...,belle,MEMOIRE,belle,moche,miel
À la claire fontaine,Que je m'y suis ...,baigné,CONJUGAISON,baigné,baignait,baignai
À la claire fontaine,Sous les feuilles d'un ...,chêne,ORTHOGRAPHE,chêne,chene,chaine
Balance ton quoi,Ils parlent tous comme des ...,animaux,MEMOIRE,animaux,chevaux,animals
Balance ton quoi,Les gens me ... à demi-mot,disent,CONJUGAISON,dite,disent,dise
Balance ton quoi,C'est quoi ton ... ?,problème,ORTHOGRAPHE,problème,problème,problem
Petit Escargot,Petit escargot porte sur son ...,dos,MEMOIRE,crane,pied,dos
Petit Escargot,Aussitôt qu’il ...,pleut,CONJUGAISON,pleuvoir,pleut,plu
Petit Escargot,porte sur son dos sa ...,maisonnette,ORTHOGRAPHE,maisonnette,maisonette,maisonete
Formidable,Tu étais formidable j'étais fort ...,minable,MEMOIRE,musculeux,minable,formidable
Formidable,J'vais pas vous ...,draguer,CONJUGAISON,draguer,dragai,dragué
Formidable,J'suis ... depuis hier,célibataire,ORTHOGRAPHE,célibataire,célibaterre,célibatère
En Feu,Comme Zinedine Zidane face à l'équipe du ...,Brazil,MEMOIRE,Maroc,Brazil,Portugal
En Feu,J'... le gros gamos,ai sorti,CONJUGAISON,et sorti,est sortir,ai sorti
En Feu,J'ai mis mes plus ... tissus,beaux,ORTHOGRAPHE,bos,bau,beaux
Dommage,Yasmine a une belle ...,voix,MEMOIRE,voix,vie,chevelure
Dommage,ah c'... dommage,est,CONJUGAISON,est,ai,et
Dommage,Louis prend son ...,bus,ORTHOGRAPHE,busse,bus,busses
Évidemment,Évidemment on pleure ...,un peu,MEMOIRE,un peu,un peu,beaucoups
Évidemment,Moi j'ai pu me ... parfois,tromper,CONJUGAISON,tromper,trompé,trompait
Évidemment,Pour mieux s'...,aimer,ORTHOGRAPHE,aimmer,aimmer,aime
